Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Activity (product.metafields.custom.activity),Age group (product.metafields.custom.age_group),Ankle Collar (product.metafields.custom.ankle_collar),Breathability Level (product.metafields.custom.breathability_level),Color (product.metafields.custom.color),Fabric (product.metafields.custom.fabric),Safety Features (product.metafields.custom.safety_features),Team (product.metafields.custom.sports_team),Stud Type (product.metafields.custom.stud_type),Target gender (product.metafields.custom.target_gender),Technology (product.metafields.custom.technology),Weight  (product.metafields.custom.weight_),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Sports logo (product.metafields.shopify.sports-logo),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tottenham-hotspur-away-jersey-2025-26-authentic,,,,,,,,,xl,,,,,,,,CLU-THP-AW-25/26-PV-XL,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,"",https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-away-jersey-2025-26-closeup-nike-swoosh-textured-fabric.png?v=1755551220,4,Striker Store closeup of Tottenham Hotspur away jersey 2025-26 black fabric with white Nike swoosh and textured check pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-away-jersey-2025-26-authentic,,,,,,,,,2xl,,,,,,,,CLU-THP-AW-25/26-PV-2XL,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,"",https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-away-jersey-2025-26-ribbed-collar-knit-fabric-detail.png?v=1755551220,5,Striker Store close up of Tottenham Hotspur away jersey 2025-26 black textured fabric with subtle grid pattern and ribbed collar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
bayern-munich-third-jersey-2025-26-kit,Bayern Munich Third Jersey 2025-26 Player Version,"<p>Step onto the field with confidence in the Bayern Munich third jersey 2025-26, available now at Striker Store. This jersey stands out with a premium design inspired by Bayern’s rich history. The iconic club crest features on the front. Engineered for players who demand performance, the Bayern Munich third jersey 2025-26 uses lightweight, breathable fabric. This fabric keeps sweat away, helping you stay dry and cool. </p>
<p>The curved neckline offers a comfortable fit. Subtle red and green accents on the sleeves pay tribute to tradition while adding a modern touch. The Bayern Munich third jersey 2025-26 features bold sponsor details. The look is unmistakable on or off the pitch. The slightly tapered cut allows free movement in every play. </p>
<p>Built to endure tough matches and frequent washes, the Bayern Munich third jersey 2025-26 maintains its vivid colors. Supporters can wear it with pride at games, training, or casual gatherings. The durable stitching ensures lasting comfort. Fans appreciate the authentic style and official branding, making this jersey a top pick each season. </p>
<p>Striker Store offers this exclusive release with quick, free delivery anywhere in India. Own a piece of Bayern’s new season with a jersey made for performance and comfort. Find the best fit from a range of available sizes. Show your loyalty and style with the Bayern Munich third jersey 2025-26. The design merges club tradition with sleek innovation. </p>
<p>This player version jersey helps every supporter feel part of the team. Grab your Bayern Munich third jersey 2025-26 today and stand out as a true fan.</p>",Striker Store,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,Jersey,"2025, 2025-26, 2026, 25, accessories, activewear, activewear tops, apparel, bayern, bayern munich, black, clothing, club, jersey, munich, new arrivals, player, t-shirts, third, unisex, version",true,Size,s,product.metafields.shopify.size,,,,,,,CLU-BM-TH-25/26-PV-S,350.0,shopify,97,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-front-straight-telekom-logo-trefoil-crest-allianz.png?v=1755551024,1,Striker Store Bayern Munich third jersey 2025-26 black short sleeve with cream logos and red green trim,false,Bayern Munich third jersey 2025-26 Player Black Retro | Striker Store,"Shop the Bayern Munich third jersey 2025-26 at Striker Store — authentic player-fit black retro design, breathable fabric, slim fit and free India delivery.",,,,,,,,,,,,Football,"Adults , Teens",,,Black,Polyester,,Bayern Munich,,,Sweat Wiking,,,breathable-design; moisture-wicking; ventilation,soccer; football,,,,black,polyester,,,,,,s; m; l; xl; 2xl,short,,unisex,,,,,,g,,699.00,active
bayern-munich-third-jersey-2025-26-kit,,,,,,,,,m,,,,,,,,CLU-BM-TH-25/26-PV-M,350.0,shopify,98,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-back-subtle-checker-pattern-fcbm-neck.png?v=1755551024,2,Striker Store black Bayern Munich third jersey 2025-26 back view with subtle checker pattern red check trim and FCBM neck print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
bayern-munich-third-jersey-2025-26-kit,,,,,,,,,l,,,,,,,,CLU-BM-TH-25/26-PV-L,350.0,shopify,90,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-flatlay-full-jersey-telekom-crest-allianz-sleeve.jpg?v=1755551024,3,Striker Store black Adidas style Bayern Munich third jersey 2025-26 with white sponsor logo and red trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
bayern-munich-third-jersey-2025-26-kit,,,,,,,,,xl,,,,,,,,CLU-BM-TH-25/26-PV-XL,350.0,shopify,98,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-closeup-fcbm-neck-red-checker-collar.png?v=1755551024,4,Striker Store Bayern Munich third jersey 2025-26 black back detail with FCBM lettering and green red collar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
bayern-munich-third-jersey-2025-26-kit,,,,,,,,,2xl,,,,,,,,CLU-BM-TH-25/26-PV-2XL,350.0,shopify,98,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-neckline-three-stripes-inner-print-from-the-south.jpg?v=1755551024,5,Striker Store Bayern Munich third jersey 2025-26 black close up showing green collar red checker trim and white shoulder stripes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
bayern-munich-third-jersey-2025-26-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-bayern-munich-third-jersey-2025-26-closeup-adidas-trefoil-logo-texture.jpg?v=1755551024,6,Striker Store Bayern Munich third jersey 2025-26 close up of black fabric with white Adidas trefoil logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manchester-city-third-jersey-2025-26,Manchester City Third Jersey 2025-26 Player Version,"<p>Step onto the pitch wearing the Manchester City Third Jersey 2025-26 from Striker Store. This jersey brings the bold style of the club to every match and training session. The Manchester City Third Jersey 2025-26 features premium fabric that stays light and airy during intense games.</p>
<p>Sweat-wicking technology keeps you cool. The vibrant neon details stand out on and off the field. Designed for those who demand authentic quality, this player version fits close to the body. The club badge and sponsor logos are heat-pressed, mirroring what professionals wear in matches.</p>
<p>The Manchester City Third Jersey 2025-26 uses materials chosen for comfort and durability. You can move freely thanks to the ergonomic shoulder panels. The underarm mesh zones help with ventilation, no matter how long you play. Reinforced stitching holds up wash after wash.</p>
<p>Support your team with the Manchester City Third Jersey 2025-26 and make every moment count. The dynamic look matches City’s modern spirit. Its lightweight build feels natural whether you train or watch from the stands. Fans at Striker Store love its premium finish and exclusive design.</p>
<p>This jersey is perfect for collectors and die-hard supporters alike. Easy care instructions mean it always stays fresh and ready. Free delivery across India ensures you get the Manchester City Third Jersey 2025-26 quickly. Show off your loyalty with style. Get yours at Striker Store, where passion meets top football apparel. Carry the legacy of City into every game and stand united with fellow fans everywhere.</p>",Striker Store,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,Jersey,"2025, 2025-26, 2026, 25, accessories, activewear, activewear tops, apparel, city, clothing, club, grey, jersey, manchester, manchester city, neon, new arrivals, player, t-shirts, third, unisex, version",true,Size,s,product.metafields.shopify.size,,,,,,,CLU-MC-TH-25/26-PV-S,350.0,shopify,100,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/puma-manchester-city-third-jersey-2025-26-silver-water-drop-front-neon-accents.jpg?v=1755550869,1,Striker Store Manchester City Third Jersey 2025-26 grey camo print with neon yellow trim Etihad Airways logo,false,Manchester City Third Jersey 2025-26 Player Version | Striker Store,"Shop the Manchester City Third Jersey 2025-26 at Striker Store - player version with neon accents, breathable fabric, authentic fit and official Etihad details.",,,,,,,,,,,,Football,,,,"Grey, Green",Polyester,,Manchester City,,Unisex,Sweat Wiking,,,moisture-wicking; breathable-design,soccer,,,,green; grey,polyester,,,,,,s; m; l; xl; 2xl,,,unisex,,,,,,g,,699.00,active
manchester-city-third-jersey-2025-26,,,,,,,,,m,,,,,,,,CLU-MC-TH-25/26-PV-M,350.0,shopify,99,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/puma-manchester-city-third-jersey-2025-26-club-crest-puma-logo-closeup.jpg?v=1755550869,2,Striker Store close up of Manchester City Third Jersey 2025-26 grey fabric with crest Puma logo and water droplets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
manchester-city-third-jersey-2025-26,,,,,,,,,l,,,,,,,,CLU-MC-TH-25/26-PV-L,350.0,shopify,99,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/puma-manchester-city-third-jersey-2025-26-silver-water-drop-back-neon-side-panels.jpg?v=1755550869,3,Striker Store Manchester City Third Jersey 2025-26 back view gray marbled pattern with neon yellow side panels and short sleeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
manchester-city-third-jersey-2025-26,,,,,,,,,xl,,,,,,,,CLU-MC-TH-25/26-PV-XL,350.0,shopify,97,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/puma-manchester-city-third-jersey-2025-26-hem-closeup-authentic-football-label.jpg?v=1755550869,4,Striker Store close up of Manchester City Third Jersey 2025-26 hem with Puma Authentic Football label and neon trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
manchester-city-third-jersey-2025-26,,,,,,,,,2xl,,,,,,,,CLU-MC-TH-25/26-PV-2XL,350.0,shopify,100,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/puma-manchester-city-third-jersey-2025-26-sleeve-closeup-etihad-neon-print.jpg?v=1755550869,5,Striker Store close up of Manchester City Third Jersey 2025-26 gray sleeve with water droplet print and neon green trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
real-madrid-third-jersey-2025-26-player-version,Real Madrid Third Jersey 2025-26 Player Version,"<p>Show your support with the Real Madrid Third Jersey 2025-26, available at Striker Store. This jersey brings a fresh look with its unique blue design and striking white details. Each feature is crafted for performance and style. The fabric is lightweight and cool, keeping you comfortable during intense matches or casual wear.</p>
<p>Modern technology is used in the Real Madrid Third Jersey 2025-26 for players who demand the best. The breathable material helps you stay dry, even when the action heats up. The slim fit hugs your body in a professional cut. It moves naturally with every step.</p>
<p>Official club logos on the Real Madrid Third Jersey 2025-26 add true authenticity. The player version badge stands out on the chest, showing this is more than just fan gear. Supporters and collectors both enjoy the sharp details and clean finish. The sleeve features sponsor prints that bring the look together.</p>
<p>Wearing this jersey connects you with football history. It matches the kit worn by your favorite players. The Real Madrid Third Jersey 2025-26 is also easy to care for. It retains its bold color and shape, wash after wash.</p>
<p>Get the latest look worn by the stars. Feel just like the squad on match day. Striker Store offers this exclusive jersey at an affordable price, with free delivery across India. Fans who choose the Real Madrid Third Jersey 2025-26 enjoy style, comfort, and official detailing.</p>
<p>Great for training sessions, match-watching, or adding to your collection. The Real Madrid Third Jersey 2025-26 combines passion and quality. Show the world your love for Real Madrid. Browse Striker Store for more premium football jerseys.</p>",Striker Store,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,Jersey,"2025, 2025-26, 2026, 25, accessories, activewear, activewear tops, apparel, best, clothing, club, jersey, madrid, new arrivals, player, real, real madrid, t-shirts, third, unisex, version",true,Size,S,,,,,,,,CLU-RM-TH-25/26-PV-S,350.0,shopify,98,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-real-madrid-third-jersey-2025-26-front-full-emirates-trefoil-sleeves.png?v=1755550707,1,Real Madrid Third Jersey 2025-26 blue short sleeve soccer jersey with club crest and Emirates Fly Better logo,false,Real Madrid Third Jersey 2025-26 Player Version — Blue | Striker Store,"Shop the Real Madrid Third Jersey 2025-26 at Striker Store - player version in bold blue with embroidered crest, breathable fabric; free India delivery.",,,,,,,,,,,,Football,,,,Blue,Polyester,,Real Madrid,,Unisex,Sweat Wiking,,,breathable-design; moisture-wicking; ventilation,soccer; football,,,,blue,polyester,,,,,,,,,unisex,,,,,,g,,699.00,active
real-madrid-third-jersey-2025-26-player-version,,,,,,,,,M,,,,,,,,CLU-RM-TH-25/26-PV-M,350.0,shopify,100,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-real-madrid-third-jersey-2025-26-chest-closeup-emirates-crest-trefoil.png?v=1755550707,2,Striker Store Real Madrid Third Jersey 2025-26 blue Adidas trefoil with club crest and Emirates sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
real-madrid-third-jersey-2025-26-player-version,,,,,,,,,L,,,,,,,,CLU-RM-TH-25/26-PV-L,350.0,shopify,99,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-real-madrid-third-jersey-2025-26-back-view-rmcf-neck-print.png?v=1755550707,3,Back view of blue Real Madrid Third Jersey 2025-26 with diagonal pattern white sleeve trim RMCF at neck from Striker Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
real-madrid-third-jersey-2025-26-player-version,,,,,,,,,XL,,,,,,,,CLU-RM-TH-25/26-PV-XL,350.0,shopify,100,deny,manual,1299.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/adidas-real-madrid-third-jersey-2025-26-draped-angle-emirates-crest-trefoil.png?v=1755550707,4,Striker Store Real Madrid Third Jersey 2025-26 blue Adidas trefoil with Emirates Fly Better sponsor and club crest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,699.00,
